"id","nome","cidade","frequencia","site","imagem","caminho_imagem"
"91"," RADIO CANAÂ-FM","NOVA CANAÂ-MT","87,9 MHZ","http://canaafm87.com","19-12-2014-a6a238aaed1554d9884a393f7f3783c1.jpg","images/radios/19-12-2014-a6a238aaed1554d9884a393f7f3783c1.jpg"
"92"," RADIO TROPICAL - FM","VERA-MT","104,9 MHZ","http://www.veranews.com.br/","19-12-2014-b52db1a0b26095e9214e009ea9a5149e.jpg","images/radios/19-12-2014-b52db1a0b26095e9214e009ea9a5149e.jpg"
"93","RADIO CONTINENTAL-FM","CARLINDA-MT","94.3 MHZ","www.redecontinental.radio.br/fmcarlinda","19-12-2014-da914fb478d2e3ea4807265d954e61b6.jpg","images/radios/19-12-2014-da914fb478d2e3ea4807265d954e61b6.jpg"
"94","RADIO TRANSAMÉRICA","MARCELANDIA - MT","98.1 MHZ","http://www.transamericamt.com.br","19-12-2014-eea5c9395eddbf80969910eccbc09836.jpg","images/radios/19-12-2014-eea5c9395eddbf80969910eccbc09836.jpg"
"95","RADIO REGIONAL","LUCAS DO RIO VERDE-MT","102.3 MHZ","http://www.regionalnaweb.com.br/","19-12-2014-54e9235064a0e786b82a48821fe179e8.jpg","images/radios/19-12-2014-54e9235064a0e786b82a48821fe179e8.jpg"
"96","RADIO ATITUDE-AM","LUCAS DO RIO VERDE-MT","670 KHZ"," http://www.atitudeam.com.br","19-12-2014-5e828222a455c98c7a28ffe7030d0464.jpg","images/radios/19-12-2014-5e828222a455c98c7a28ffe7030d0464.jpg"
"97"," CONQUISTA - FM","CONQUISTA DO OESTE-MT","104.9","http://www.conquistafm104.com.br/","19-12-2014-74c726594686fb16d8d06600e2c7faea.jpg","images/radios/19-12-2014-74c726594686fb16d8d06600e2c7faea.jpg"
"98","LIBERDADE-FM","ÁGUA BOA-MT","104.9","http://www.radioliberdadefmab.com.br/","22-03-2015-6dbafc595040be9422ab12c77c12219b.png","images/radios/22-03-2015-6dbafc595040be9422ab12c77c12219b.png"
"99","TERRA-FM","RIBEIRÃOZINHO-MT","98.7","https://pt-br.facebook.com/pages/R%C3%A1dio-Terra-FM-987-Ribeir%C3%A3ozinho-MT/639038246138217","27-03-2015-cb3edb02b5d5f7032b49a3d2db110ed5.jpg","images/radios/27-03-2015-cb3edb02b5d5f7032b49a3d2db110ed5.jpg"
"101","RÃDIO METRÃ” FM","JUINA-FM","87,9 FM","http://www.metrofmjuina.com.br/","02-07-2015-e1d4ef11e6b2436491dd5b508716cf80.png","images/radios/02-07-2015-e1d4ef11e6b2436491dd5b508716cf80.png"
"102","RADIO CAPITAL-FM","CUIABÁ-MT","101,9 FM","http://capitalfmcuiaba.com.br/","14-08-2015-8d7ff64bf1725e77b9857f78c333348c.jpg","images/radios/14-08-2015-8d7ff64bf1725e77b9857f78c333348c.jpg"
"103","RADIO SERRA-FM","TANGARÁ DA SERRA-MT","104,9 FM","http://www.radioserrafm.com.br/","27-08-2015-ab2faf16e72c24401cc2e0a06d807081.jpg","images/radios/27-08-2015-ab2faf16e72c24401cc2e0a06d807081.jpg"
"104","RADIO MERIDIONAL-FM","SINOP-MT","98,9 FM","http://www.meridionalfm.com.br/","27-08-2015-3ae2e47df6ae9c971a7329b40a2346dc.png","images/radios/27-08-2015-3ae2e47df6ae9c971a7329b40a2346dc.png"
"105","CIDADE-FM","TAPURAH-MT","105,1","","05-09-2015-65a70af3049e7e3e67ffb69672c80d3d.jpg","images/radios/05-09-2015-65a70af3049e7e3e67ffb69672c80d3d.jpg"
